Timestamp	NodeID	Message
--------------------------------------------------
236000	ID:2	[INFO: Main      ] Starting Contiki-NG-release/v5.1-71-g23e51c4d4-dirty
236000	ID:2	[DBG : Main      ] TARGET=cooja
236000	ID:2	[INFO: Main      ] - Routing: RPL Lite
236000	ID:2	[INFO: Main      ] - Net: sicslowpan
236000	ID:2	[INFO: Main      ] - MAC: CSMA
236000	ID:2	[INFO: Main      ] - 802.15.4 PANID: 0xabcd
236000	ID:2	[INFO: Main      ] - 802.15.4 Default channel: 26
236000	ID:2	[INFO: Main      ] Node ID: 2
236000	ID:2	[INFO: Main      ] Link-layer address: 0002.0002.0002.0002
236000	ID:2	[INFO: IPv6 DS   ] Init: 4 neighbors
236000	ID:2	[INFO: IPv6 DS   ] 2 default routers
236000	ID:2	[INFO: IPv6 DS   ] 3 prefixes
236000	ID:2	[INFO: IPv6 DS   ] 4 routes
236000	ID:2	[INFO: IPv6 DS   ] 3 unicast addresses
236000	ID:2	[INFO: IPv6 DS   ] 7 multicast addresses
236000	ID:2	[INFO: IPv6 DS   ] 2 anycast addresses
236000	ID:2	[INFO: IPv6 DS   ] Adding prefix fe80:: len 64, flags 0, valid/preferred lifetime 0/0
236000	ID:2	[INFO: Main      ] Tentative link-local IPv6 address: fe80::202:2:2:2
236000	ID:2	[INFO: Gateway   ] === Post-Quantum Gateway Node Starting ===
236000	ID:2	[INFO: Gateway   ] Implementing Kumari et al. LR-IoTA + QC-LDPC
236000	ID:2	
236000	ID:2	[INFO: Gateway   ] [Initialization] Generating cryptographic keys...
236000	ID:2	
236000	ID:2	[INFO: Gateway   ] 1. Generating Ring-LWE keys...
382000	ID:1	[INFO: Main      ] Starting Contiki-NG-release/v5.1-71-g23e51c4d4-dirty
382000	ID:1	[DBG : Main      ] TARGET=cooja
382000	ID:1	[INFO: Main      ] - Routing: RPL Lite
382000	ID:1	[INFO: Main      ] - Net: sicslowpan
382000	ID:1	[INFO: Main      ] - MAC: CSMA
382000	ID:1	[INFO: Main      ] - 802.15.4 PANID: 0xabcd
382000	ID:1	[INFO: Main      ] - 802.15.4 Default channel: 26
382000	ID:1	[INFO: Main      ] Node ID: 1
382000	ID:1	[INFO: Main      ] Link-layer address: 0001.0001.0001.0001
382000	ID:1	[INFO: IPv6 DS   ] Init: 4 neighbors
382000	ID:1	[INFO: IPv6 DS   ] 2 default routers
382000	ID:1	[INFO: IPv6 DS   ] 3 prefixes
382000	ID:1	[INFO: IPv6 DS   ] 4 routes
382000	ID:1	[INFO: IPv6 DS   ] 3 unicast addresses
382000	ID:1	[INFO: IPv6 DS   ] 7 multicast addresses
382000	ID:1	[INFO: IPv6 DS   ] 2 anycast addresses
382000	ID:1	[INFO: IPv6 DS   ] Adding prefix fe80:: len 64, flags 0, valid/preferred lifetime 0/0
382000	ID:1	[INFO: Main      ] Tentative link-local IPv6 address: fe80::201:1:1:1
382000	ID:1	[INFO: Sender    ] === Post-Quantum Sender Node Starting ===
382000	ID:1	[INFO: Sender    ] Implementing Kumari et al. LR-IoTA + QC-LDPC
382000	ID:1	
382000	ID:1	[INFO: Sender    ] [Phase 1] Generating Ring-LWE keys...
62444000	ID:2	[INFO: Gateway   ]    Ring-LWE key generation: SUCCESS
62444000	ID:2	[INFO: Gateway   ] 2. Generating QC-LDPC keys...
62444000	ID:2	[INFO: Gateway   ]    LDPC matrix generation: SUCCESS
62444000	ID:2	[INFO: Gateway   ]    Matrix size: 408x816
62444000	ID:2	[INFO: Gateway   ]    Row weight: 6, Column weight: 3
62444000	ID:2	[INFO: Gateway   ] 3. Initializing ring member public keys...
62590000	ID:1	[METRIC] COST_AUTH_KEYGEN: 62208000
62590000	ID:1	[INFO: Sender    ] Ring-LWE key generation successful
# STEP 1 COMPLETED
62590000	ID:1	[INFO: Sender    ]   - Secret key generated
62590000	ID:1	[INFO: Sender    ]   - Public key generated
62590000	ID:1	[INFO: Sender    ]   - Random polynomial R generated
62590000	ID:1	[INFO: Sender    ] Generating public keys for other ring members...
124798000	ID:1	[INFO: Sender    ]   - Ring member 2 public key generated
186860000	ID:2	[INFO: Gateway   ]    Ring setup complete (3 members)
186860000	ID:2	[INFO: Gateway   ] 
186860000	ID:2	=== Gateway Ready ===
186860000	ID:2	[INFO: Gateway   ] Configuration:
186860000	ID:2	[INFO: Gateway   ]   - Polynomial degree (n): 512
186860000	ID:2	[INFO: Gateway   ]   - Modulus (q): 536870909
186860000	ID:2	[INFO: Gateway   ]   - Standard deviation (ￏﾃ): 43
186860000	ID:2	[INFO: Gateway   ]   - Ring size (N): 3
186860000	ID:2	[INFO: Gateway   ]   - LDPC dimensions: 408x816
186860000	ID:2	[INFO: Gateway   ] 
186860000	ID:2	Listening for incoming connections on UDP port 5678...
186860000	ID:2	
187006000	ID:1	[INFO: Sender    ]   - Ring member 3 public key generated
187006000	ID:1	[INFO: Sender    ] Waiting for network initialization...
187006000	ID:1	[INFO: ICMPv6    ] Sending ICMPv6 packet to ff02::1a, type 155, code 0, len 2
187010800	ID:2	[INFO: IPv6      ] packet received from fe80::201:1:1:1 to ff02::1a
187010800	ID:2	[INFO: IPv6      ] icmpv6 input length 46 type: 155 
189332000	ID:2	[INFO: ICMPv6    ] Sending ICMPv6 packet to ff02::1a, type 155, code 1, len 72
189338040	ID:1	[INFO: IPv6      ] packet received from fe80::202:2:2:2 to ff02::1a
189338040	ID:1	[INFO: IPv6      ] icmpv6 input length 116 type: 155 
189338040	ID:1	[INFO: IPv6 Nbr  ] Adding neighbor with ip addr fe80::202:2:2:2 link addr 0002.0002.0002.0002 state 1
191938000	ID:1	[INFO: ICMPv6    ] Sending ICMPv6 packet to fe80::202:2:2:2, type 155, code 1, len 72
